filename,reference,whisper_hypothesis,wer
common_voice_ar_22983415.mp3,هذا عمل نافع,هذا عملنا,0.6667
common_voice_ar_30557645.mp3,هل للقلوب من العيون خلاص,هل الع,0.8000
common_voice_ar_28848591.mp3,ابا حسن انني ناصح,ابا حسن ان,0.5000
common_voice_ar_29056624.mp3,يا بخيلا وكل نظره عين,يا بخيرا,0.8000
common_voice_ar_30415210.mp3,ديوان المطبوعات الجامعيه,ديواني,1.0000
common_voice_ar_20360379.mp3,انها جميله جدا,انا جميع,1.0000
common_voice_ar_28793812.mp3,طوبي لمن رفض الفتاه وقد غدا,طوبه ل,1.0000
common_voice_ar_23493240.mp3,لا اذكر بدقه,لا ا,0.6667
common_voice_ar_22796811.mp3,يبدو ان العصافه هدات,يبدوا,1.0000
common_voice_ar_24280746.mp3,انتظر سامي ليلي,انتظرس,1.0000
common_voice_ar_35186227.mp3,قل لعيني لا تملا الدموعا,قل لي,0.8000
common_voice_ar_22796196.mp3,تمتعنا بالسباحه في النهر,تمتعنا بالسب,0.7500
common_voice_ar_36318410.mp3,تتجني علي ذنبا وتعتلل,تتجنها,1.0000
common_voice_ar_19644854.mp3,لم اسمع شيءا,,1.0000
common_voice_ar_23761769.mp3,عرض هذا النهر ميل,عرض هذه,0.7500
common_voice_ar_23972623.mp3,اتصل بي مره اخري خلال يومين,هذا سيبين من,1.0000
common_voice_ar_37983109.mp3,ذهبت عنك يا حزين الهموم,ده بت,1.0000
common_voice_ar_28714673.mp3,رايتك بينا انت خل وصاحب,رايتك بين ان,0.8000
common_voice_ar_28290152.mp3,امرنا بفعل ذلك,امير ا,1.0000
common_voice_ar_28793959.mp3,سادت بهذا الكون حكمه قاهر,سعد,1.0000
common_voice_ar_33468486.mp3,نحن قادمون,نحن ن,0.5000
common_voice_ar_34566436.mp3,بسجود القسيس يوم السجود,بسبب,1.0000
common_voice_ar_24754346.mp3,لم اصح من لذه لا لا ولا طرب,لم اصل,0.8750
common_voice_ar_21654497.mp3,اتصل بي بيل ليله امس,التصل بي بال,0.8000
common_voice_ar_24257238.mp3,وقال بعض البلغاء من خير خلالك الصبر علي اختلالك,وقال ب,0.8889
common_voice_ar_20315587.mp3,انه يعمل في قطاع صناعه السيارات,انه يعمله,0.8333
common_voice_ar_25466368.mp3,فلما ابصرني قال,فلما اب,0.6667
common_voice_ar_23956658.mp3,اعارض استخدام الموت عقوبه واعارض استخدامه مكافاه كذلك,وعار,1.0000
common_voice_ar_20452594.mp3,لقد تم اختراع الطاءره الورقيه قبل الفي عام,لقد تم ا,0.7500
common_voice_ar_37528301.mp3,اوميض البرق في الليل البهيم,اوميد ال,1.0000
common_voice_ar_31812946.mp3,اه يا جرحي المكابر,او ا,1.0000
common_voice_ar_22711127.mp3,رفضت بتي عرض موريل,رفضه,1.0000
common_voice_ar_32347917.mp3,ما استب قط اثنان الا غلبا,مستبق,1.0000
common_voice_ar_28801144.mp3,لا قضي الله بيننا بالفراق,تاقضي الله بيننا بت,0.6000
common_voice_ar_28715949.mp3,لا اريد الذهاب الي النوم الان,لا اريدوا,0.8333
common_voice_ar_33416956.mp3,فلم يلبث بعد ذلك الا يسيرا حتي مات رحمه الله,فلم يل,0.9000
common_voice_ar_24228609.mp3,يمسي الناجح مسرورا,يومسي ا,1.0000
common_voice_ar_28933355.mp3,ايها الشخص الذي قال انا,ايها الشر,0.8000
common_voice_ar_24113593.mp3,ان ادم جوان ز زاد درمورد مملت اش نم داند,,1.0000
common_voice_ar_33951161.mp3,غير فاضل تفاصيل حسابه المصرفي,غير رفاضل,0.8000
common_voice_ar_24407332.mp3,ما حال حي ثوي ما بين اموات,محال,1.0000
common_voice_ar_35439098.mp3,قد كان كل منهما,وقت,1.0000
common_voice_ar_27917301.mp3,احسن من رمي برعاده,احسن الم,0.7500
common_voice_ar_22770966.mp3,ساكل هنا,ساكله,1.0000
common_voice_ar_31442264.mp3,اطلاق اغلوطه عليه كما,اتلاقي,1.0000
common_voice_ar_32088508.mp3,وفقير عصف المحل به,وفقي,1.0000
common_voice_ar_23835908.mp3,منذ ان كذب علي ماريو لم اعد اكلمه,منزل ان ق,0.8750
common_voice_ar_20897642.mp3,هذا اسرع قطار في العالم,هذا اسرع الج,0.6000
common_voice_ar_23972535.mp3,احاول النوم,,1.0000
common_voice_ar_37238429.mp3,يفديك من كل محذور ابو حسن,يفيده,1.0000
common_voice_ar_22576667.mp3,لا,ل,1.0000
common_voice_ar_30805841.mp3,به تنطوي الامال عند انبساطها,فيه ط,1.0000
common_voice_ar_40365036.mp3,العربيه لغه كامله محببه عجيبه تكاد تصور الفاظها مشاهد الطبيعه,العر,1.0000
common_voice_ar_28839728.mp3,اصبح ايري معرضا عني,اسبح اري مع,1.0000
common_voice_ar_24279369.mp3,قدم سامي شهادته,قد,1.0000
common_voice_ar_23849289.mp3,العالم ينقسم الي الناس الذين يعملون الاشياء والذين يشكرون عليها,العلم,1.0000
common_voice_ar_36889230.mp3,ال بيت النبي اني محب,اهل,1.0000
common_voice_ar_34284357.mp3,حدث الشاعر عن نور القمر,حدث الشا,0.8000
common_voice_ar_23698396.mp3,لقد وصلنا,لقد وص,0.5000
common_voice_ar_30714317.mp3,وقلبي شجره,وقال,1.0000
common_voice_ar_27504731.mp3,اشعر بانني غير مقدر في العمل,اشعر ان,0.8333
common_voice_ar_28852816.mp3,اراني سعيد الجد يا ابن سعيد,اراني سا,0.8333
common_voice_ar_28791388.mp3,يكره الموت اناس جهلوا,يك,1.0000
common_voice_ar_21883452.mp3,من فضلك لا تركض في الصف,من صدلك ل,0.8333
common_voice_ar_35707455.mp3,وصل سامي الي هدفه,وصل سامي ال,0.5000
common_voice_ar_28793796.mp3,لو كنت مجبول السماح,لو كنتم,0.7500
common_voice_ar_19219126.mp3,ذهبت الي بيتي,و هبتوا,1.0000
common_voice_ar_19220070.mp3,بيتي بعيد عن هنا,بيت,1.0000
common_voice_ar_23973807.mp3,يعمل جون بجد,يعملوا,1.0000
common_voice_ar_28809950.mp3,وعمر غير ممدود,وغمر غير الم,0.6667
common_voice_ar_38214843.mp3,وصل الي لندن البارحه,وصل الي ل,0.5000
common_voice_ar_28801908.mp3,هل تعلم ان مجموعه من وحيد القرن تسمي كراش,,1.0000
common_voice_ar_28806437.mp3,لا يمكنك ان تخدعني,لا,0.7500
common_voice_ar_25129558.mp3,ايها القانون,ايها القانون,0.0000
common_voice_ar_22711889.mp3,كنت متعبا فخلدت الي النوم باكرا,كنت م,0.8333
common_voice_ar_28809709.mp3,لك ريحان وراح ومجيدات ملاح,لكري,1.0000
common_voice_ar_22711279.mp3,اليس في بلاد العجاءب هو كتاب مشهور للاطفال لويس كارول,الس في بال,0.9000
common_voice_ar_28828431.mp3,مجون صب في صنم,مجونه,1.0000
common_voice_ar_28801202.mp3,ليس بنظام كامل,ليس ب,0.6667
common_voice_ar_28793462.mp3,اسقط الحاء من الحمد,تسقط الحق من الحند,0.7500
common_voice_ar_23310205.mp3,تحافظ علي غرفتها مرتبه دوما,تحافظ علي هو,0.6000
common_voice_ar_28793946.mp3,ازور قبرك والاشجان تمنعني,وده,1.0000
common_voice_ar_37146093.mp3,قد قضينا في العيد يوما سعيدا,كالكالي,1.0000
common_voice_ar_36482830.mp3,قد بناها عمر ركن بني,قد بانها,0.8000
common_voice_ar_24964905.mp3,كم لحظه كررتها في لحظه,كم لحظه كه,0.6000
common_voice_ar_25028901.mp3,ادني اشتياقي ان ابيت عليلا,يدني ا,1.0000
common_voice_ar_30521688.mp3,وصلت الشرطه الي مسرح الجريمه الفضيعه,وص,1.0000
common_voice_ar_23973680.mp3,للرجل الذي ليس عنده الا مطرقه في طقم ادواته تبدو كل مشكله كالمسمار,للرجل الذي ليست,0.8462
common_voice_ar_20791546.mp3,حاول ان يهرب,حاوله,1.0000
common_voice_ar_24231514.mp3,كان سامي يحضر بعض الدروس مع ليلي,ك,1.0000
common_voice_ar_22730216.mp3,اي شخص يمكنه فعل ذلك,هل ان,1.0000
common_voice_ar_22773206.mp3,هذا الحاءط مطلي باللون الاخضر,هذا الحق,0.8000
common_voice_ar_28068659.mp3,شاقني الاهل لم تشقني الديار,شاقني لا,0.8000
common_voice_ar_23975866.mp3,هل تحبني,هل ت,0.5000
common_voice_ar_24806956.mp3,طال الثواء علي رسوم المنزل,طالث,1.0000
common_voice_ar_21100655.mp3,هذه الالعاب الناريه راءعه,هذه ال,0.7500
common_voice_ar_22710804.mp3,فقدت حقيبتي,فقدت,0.5000
common_voice_ar_28791695.mp3,يا دهر يا صاحب الفجيعات,يا دهر ا,0.6000
common_voice_ar_24203238.mp3,والله لو قلت واحده لسمعت عشرا,والله لوق,0.8333
common_voice_ar_24203362.mp3,هو يحبها و هي تحبه ايضا,هو يحي,0.8333
common_voice_ar_28865268.mp3,يا باني الدرج الذي,يا باني الدرج الل,0.2500
common_voice_ar_28865270.mp3,زارني في اواءل الشهر بدري,زارني في اوا,0.6000
common_voice_ar_19469249.mp3,بالكاد يمكنني المشي,وكتب,1.0000
common_voice_ar_19469251.mp3,بقي عازبا طوال حياته,دكتير,1.0000
common_voice_ar_22788907.mp3,ساعدت توني,س,1.0000
common_voice_ar_22788954.mp3,يناسبك اللون الاخضر,يناسب ك,1.0000
common_voice_ar_23558552.mp3,ليست هناك مسافه علي هذه الارض ابعد من يوم امس,ليست في,0.9000
common_voice_ar_21629099.mp3,سبحنا في البحيره,شهو,1.0000
common_voice_ar_21629100.mp3,اريد ان اقود,مو م,1.0000
common_voice_ar_24879486.mp3,كرر اللوم عليه ان تشا,كرر اللوم,0.6000
common_voice_ar_24879488.mp3,شغلت خداشا عن مساعي مخلد,شغلت خدا ش,0.8000
common_voice_ar_31866172.mp3,عيد حسيب عيد حبيب,ل,1.0000
common_voice_ar_31866343.mp3,يا باني الحصن ارساه وشيده,ي ي,1.0000
common_voice_ar_23974261.mp3,يرغب ان يلتقي بك,يرغب ان,0.5000
common_voice_ar_23974264.mp3,رتبت غرفتها بسرعه,علي التبات غ,1.0000
common_voice_ar_23972809.mp3,التعليم تعلم,التعليم تعلم,0.0000
common_voice_ar_23972887.mp3,انهم لا يعرفون لماذا حتي,انهم لا ي,0.6000
common_voice_ar_22715114.mp3,اضحك معهم,بحك معا,1.0000
common_voice_ar_22715117.mp3,لربما اصبح معلما ماهرا,لرب ما,1.0000
common_voice_ar_22759417.mp3,سيسعدني مساعدتك اي وقت تحب,سيسيد الموس,1.0000
common_voice_ar_22759418.mp3,قلت ذلك,قلتوا ذ,1.0000
common_voice_ar_21481956.mp3,لقد اكلنا هناك ثلاث مرات,لقد ا,0.8000
common_voice_ar_21481959.mp3,بقي الاولاد هادءين,بق,1.0000
common_voice_ar_28815054.mp3,ولو ولوا قليل الفقه فيه,ول و,1.0000
common_voice_ar_28815055.mp3,وقالوا عليك وسيط الامور,وقالوا عليك وس,0.5000
common_voice_ar_21314690.mp3,من هناك,من هناك,0.0000
common_voice_ar_21314693.mp3,مايك هو قاءد الفريق,م,1.0000
common_voice_ar_36889321.mp3,لقد حاول ان يخدعني,لقد حصلت,0.7500
common_voice_ar_36889326.mp3,الا لا مرحبا بفراق ليلي,لا لا لا مخدم,0.8000
common_voice_ar_28809837.mp3,ايها المنتحي باسوان دارا,ايها المن,0.7500
common_voice_ar_28809839.mp3,ومميل العطفين اغيد,ومميل,0.6667
common_voice_ar_24206548.mp3,وانها لا تفرح باقبالها فرحا حتي تعقب بفراقها ترحا,وان,1.0000
common_voice_ar_24240006.mp3,فيها عين جاريه,فيها عين الج,0.3333
common_voice_ar_38130851.mp3,قل للذين جفوني اذا لهجت بهم,قل ل,0.8333
common_voice_ar_38130870.mp3,كفي حزني اني اروع بالنوي,كفاح,1.0000
common_voice_ar_24045493.mp3,فقالوا انءمن لبشرين مثلنا وقومهما لنا عابدون,فقال ان,1.0000
common_voice_ar_24045495.mp3,ومن المحال مجادله ذوي المحال,ومن المحالب,0.8000
common_voice_ar_22714595.mp3,انه يوافقني الراي,انه يواصلني,0.6667
common_voice_ar_22714602.mp3,هل قابلتها,هل قابل ل,1.0000
common_voice_ar_25304281.mp3,لا تلمني عاذلي حين تري,ل,1.0000
common_voice_ar_25304282.mp3,اليوم طابت ليوحنا مسرته,اليوم طابط,0.7500
common_voice_ar_28856363.mp3,لما اتت من بين كعب مزينه,لما اط,0.8333
common_voice_ar_28856364.mp3,ما يفيق الكتاب من ظلم ابراهيم,ما يفق ال,0.8333
common_voice_ar_33243168.mp3,كان في الفريق الطبيب الشرعي فاضل صادق,كان في الفريق الط,0.5714
common_voice_ar_33243172.mp3,علم توم انني لست سعيدا,اعلمتم,1.0000
common_voice_ar_19214249.mp3,انا متعب اعتقد انني ساخلد الي السرير,وانا مجال,1.0000
common_voice_ar_19214898.mp3,الكرز احمر,الكرز احم,0.5000
common_voice_ar_22728257.mp3,اصلحت الدراجه البارحه,اصلحه,1.0000
common_voice_ar_22728258.mp3,انها تمطر مجددا,انها هاتف,0.6667
common_voice_ar_25229437.mp3,عاشا سويا في السعاده و الي الابد,عاشا سو,0.8571
common_voice_ar_25229438.mp3,بابي من شفي فءادا عليلا,باب,1.0000
common_voice_ar_19226926.mp3,اردت الذهاب الي هناك,اردت الزها,0.7500
common_voice_ar_19227038.mp3,استحم كل يوم تقريبا,ندوج,1.0000
common_voice_ar_19871967.mp3,ساذهب الان,سوف ات,1.0000
common_voice_ar_19871968.mp3,من هذان الولدان,من هذا,0.6667
common_voice_ar_28793857.mp3,لم تعد الي القاهره ابدا,لم تع,0.8000
common_voice_ar_28793859.mp3,كن علي الصدق مقيما والادب,كنا,1.0000
common_voice_ar_37522457.mp3,ان الهدايا التي راعتك قد,ان الهدايه,0.8000
common_voice_ar_37522459.mp3,ابدا اري والغدر طبع فيك,ابدا,0.8000
common_voice_ar_34959374.mp3,تصبرت عنك فما اصبر,تصبرت و عن,0.7500
common_voice_ar_34959394.mp3,ولانكم متمسكون بالبقاء علي مواصله الاستعمار الفاسد,و لانكم تم,1.0000
common_voice_ar_32565672.mp3,ايها الغافل كم هذا الهجوع,ا,1.0000
common_voice_ar_32565693.mp3,نحن من ارضنا علي منطاد,نحن من ا,0.6000
common_voice_ar_21715042.mp3,وكم قصمنا من قريه كانت ظالمه وانشانا بعدها قوما اخرين,وكم قسم,0.9000
common_voice_ar_21715043.mp3,احبه كثيرا,وحب ك,1.0000
common_voice_ar_23696035.mp3,متي تكون مشغولا,متيت,1.0000
common_voice_ar_23696036.mp3,يبدو متعبا,يبدو م,0.5000
common_voice_ar_24206041.mp3,ارسل سامي رساءل حب لليلي,الثانيه,1.0000
common_voice_ar_24206042.mp3,الله جل جلاله,الله وجل الج,0.6667
common_voice_ar_24172177.mp3,وجعلنا من بين ايديهم سدا ومن خلفهم سدا فاغشيناهم فهم لا يبصرون,و جعلنا من بين ا,0.9167
common_voice_ar_24172685.mp3,وقيل لعبد الله بن عباس,وقيله العبد الله بن,0.6000
common_voice_ar_22014694.mp3,نعم,نعم,0.0000
common_voice_ar_22014695.mp3,صفر,صفر,0.0000
common_voice_ar_25177302.mp3,وثلاث لما بدت لي منها,وزرث,1.0000
common_voice_ar_25177304.mp3,الضفادع لا يمكنها ابتلاع طعامها وعيونها مفتوحه,الضفاد,1.0000
common_voice_ar_24218681.mp3,الا تشعر بالبرد,لا,1.0000
common_voice_ar_24218697.mp3,لقد غار,لقد خار,0.5000
common_voice_ar_28886242.mp3,شيعي الليل وقومي استقبلي,ش,1.0000
common_voice_ar_28886245.mp3,تغير بدر الدين بعد موده,تغير,0.8000
common_voice_ar_28011596.mp3,اسال الله سكره قبل موتي,اساله,1.0000
common_voice_ar_28011598.mp3,اذا المرء لا يرعاك الا تكلفا فدعه ولا تكثر عليه التاسفا,اذا الم,0.9091
common_voice_ar_24229602.mp3,ما اراهم الا من ربهم يستغيثون,لا ار,1.0000
common_voice_ar_24229604.mp3,لم تبكي,,1.0000
common_voice_ar_23586836.mp3,قليلا قليلا ستلاحظ تحسنا في كتابتك,طليلا س,1.0000
common_voice_ar_23586839.mp3,لم اكن اتوقع هذا منك حقا,يمني,1.0000
common_voice_ar_20455341.mp3,ماذا عنك,ما,1.0000
common_voice_ar_20455342.mp3,نلعب كره القدم كل سبت,نلعب كره القد,0.6000
common_voice_ar_28809878.mp3,عقيد الندي اطلق مداءح جمه حباءس,عاقي,1.0000
common_voice_ar_28809880.mp3,الي اين مرمي قصدها وسراها,الي اين مرم,0.6000
common_voice_ar_25310724.mp3,قد ساد ابرهيم في ايمانه,قد شايد,0.8000
common_voice_ar_25310725.mp3,اقاسم لا تسدد سبيلي الي الرضا,اقاسم ن,0.8333
common_voice_ar_24888438.mp3,كان امرا مستعجلا,كان امر م,0.6667
common_voice_ar_24888439.mp3,بنو حنيفه لا يرضي الدعي بهم,بن,1.0000
common_voice_ar_33347806.mp3,ايها القاءل بالجسم,ايها القاءله,0.6667
common_voice_ar_33348154.mp3,رح مع الوردين اني عاشق,رحمه الع,1.0000
common_voice_ar_23378517.mp3,تد يحب زوجته الزبيث,تنت,1.0000
common_voice_ar_23378533.mp3,يستطيع الدب تسلق الشجره,يستطيع الت,0.7500
common_voice_ar_25176323.mp3,ثم ان الوصل فيه محسن,ثم ا,0.8000
common_voice_ar_25176324.mp3,جسم بلا روح ضجيع الردي,دسم البلار,1.0000
common_voice_ar_19770038.mp3,اعيش في الطابق الارضي,اعيش في,0.5000
common_voice_ar_19770045.mp3,الخطه الجديده نجحت,نخطط,1.0000
common_voice_ar_25242702.mp3,ايها الغاءب عني انني,اي ه,1.0000
common_voice_ar_25242704.mp3,تفكرت في حيف الزمان عليكم,تفك,1.0000
common_voice_ar_38186750.mp3,كانت لفاضل ذريعه قويه,كانت تفاضل ز,0.7500
common_voice_ar_38186751.mp3,زهر الامال,زهر الامل,0.5000
common_voice_ar_20844913.mp3,لا لست نعسانا,لا لستن,0.6667
common_voice_ar_20844915.mp3,انه ذكي,انهم,1.0000
common_voice_ar_24953976.mp3,ابقي الرسيم من الركاب رسوما,ابكر,1.0000
common_voice_ar_24953978.mp3,ودواه من مستجاد الصفر,ودو,1.0000
common_voice_ar_25176172.mp3,لبس التقي للنفس خير لباس,لبس ا,0.8000
common_voice_ar_25176173.mp3,اكيد لديك كثير من الاسءله,اكيد لت,0.8000
common_voice_ar_23503617.mp3,كل شيء مستحيل نظريا حتي يحدث,كل شيء م,0.6667
common_voice_ar_23503733.mp3,لا اعلم ان كنت ساملك الوقت لفعله,لا ا,0.8571
common_voice_ar_24771031.mp3,نحن في روضه يقصر عنها,نحن,0.8000
common_voice_ar_24771033.mp3,الحرص عون للزمان علي الفتي,الحرص و,0.8000
common_voice_ar_23975943.mp3,كل الحق سيدي اجاب جوك باسف كبير,كل الحق سيد,0.7143
common_voice_ar_23975985.mp3,ساشتري له قلما,ساش,1.0000
common_voice_ar_23974512.mp3,عموما مدخرات الافراد في ازدياد,عمونا,1.0000
common_voice_ar_23974571.mp3,انتهت الحفله,انتهت,0.5000
common_voice_ar_32422863.mp3,لا تلمني علي اضطراب تراه,لا تل,0.8000
common_voice_ar_32422866.mp3,نحن معاني الوجود فيه,نحنا,1.0000
common_voice_ar_19504459.mp3,انها ماهره جدا,انها ما,0.6667
common_voice_ar_19504465.mp3,احتاج مساعده طبيه,بارتج م,1.0000
common_voice_ar_28786446.mp3,الارض تنقص من اطرافها ابدا,الارض تنغ,0.8000
common_voice_ar_28786449.mp3,احل العراقي النبيذ وشربه,احلي,1.0000
common_voice_ar_23973013.mp3,دعنا لا نستعجل كثيرا,دعنا لان,0.7500
common_voice_ar_23973017.mp3,احبك,احبك,0.0000
common_voice_ar_23972934.mp3,مات مليون شخص في الحرب,مي,1.0000
